parameter,level_order,level_value,is_default_level,config_id,seed,rear_ttc_below_1_5_share,rear_hdv_emergency_braking_rate_per_veh_hour,delay_per_arrived_vehicle_s
chance_sigma,0,0.0,False,chance_sigma__0,10000,0.0012677484787018,555.6541582150061,16.46589258685268
chance_sigma,0,0.0,False,chance_sigma__0,10001,0.0003803968807455,602.5486591009973,15.937680859758062
chance_sigma,0,0.0,False,chance_sigma__0,10002,0.0011915213846732,561.0184372256417,17.018650633432948
chance_sigma,0,0.0,False,chance_sigma__0,10003,0.0010020952901521,559.7157693358881,16.637254102166025
chance_sigma,0,0.0,False,chance_sigma__0,10004,0.001255473558502,605.19949781058,15.991843685608643
chance_sigma,0,0.0,False,chance_sigma__0,10005,0.0013930107201259,530.9187814184511,16.350554633874847
chance_sigma,0,0.0,False,chance_sigma__0,10006,0.0015878159429682,622.9423201555394,16.48505870875277
chance_sigma,0,0.0,False,chance_sigma__0,10007,0.0010972598981986,588.1313054344912,16.33697392078808
chance_sigma,0,0.0,False,chance_sigma__0,10008,9.758318966919248e-05,581.9861431870638,16.2575364876613
chance_sigma,0,0.0,False,chance_sigma__0,10009,0.000909386164339,520.2987983111467,16.46250889033966
chance_sigma,1,0.01,False,chance_sigma__0p01,10000,0.0012677484787018,555.6541582150061,16.465892586852718
chance_sigma,1,0.01,False,chance_sigma__0p01,10001,0.0003803968807455,602.5486591009973,15.937680859758101
chance_sigma,1,0.01,False,chance_sigma__0p01,10002,0.0011915213846732,561.0184372256417,17.018650633433108
chance_sigma,1,0.01,False,chance_sigma__0p01,10003,0.0010020952901521,559.7157693358881,16.637254102166022
chance_sigma,1,0.01,False,chance_sigma__0p01,10004,0.001255473558502,605.19949781058,15.991843685608746
chance_sigma,1,0.01,False,chance_sigma__0p01,10005,0.0013930107201259,530.9187814184511,16.350554828257152
chance_sigma,1,0.01,False,chance_sigma__0p01,10006,0.0015878159429682,622.9423201555394,16.485058717862458
chance_sigma,1,0.01,False,chance_sigma__0p01,10007,0.0010972598981986,588.1313054344912,16.336973920788193
chance_sigma,1,0.01,False,chance_sigma__0p01,10008,9.758318966919248e-05,581.9861431870638,16.257548480377874
chance_sigma,1,0.01,False,chance_sigma__0p01,10009,0.000909386164339,520.2987983111467,16.462508890339834
chance_sigma,2,0.05,True,baseline,10000,0.0012677484787018,555.6541582150061,16.465892586853354
chance_sigma,2,0.05,True,baseline,10001,0.00038040893961,603.7089871612002,15.937823454484258
chance_sigma,2,0.05,True,baseline,10002,0.0011915213846732,561.0184372256417,17.018654457784024
chance_sigma,2,0.05,True,baseline,10003,0.0010020952901521,559.7157693358881,16.637257228361435
chance_sigma,2,0.05,True,baseline,10004,0.001255473558502,605.19949781058,15.991844775498558
chance_sigma,2,0.05,True,baseline,10005,0.0013930107201259,530.9187814184511,16.350554828257945
chance_sigma,2,0.05,True,baseline,10006,0.0015878159429682,622.9423201555394,16.48506219492705
chance_sigma,2,0.05,True,baseline,10007,0.0010972598981986,588.1313054344912,16.33697392078903
chance_sigma,2,0.05,True,baseline,10008,9.758318966919248e-05,581.9861431870638,16.257549554802583
chance_sigma,2,0.05,True,baseline,10009,0.000909386164339,520.2987983111467,16.46250902441957
chance_sigma,3,0.1,False,chance_sigma__0p1,10000,0.0012677484787018,555.6541582150061,16.4658925868534
chance_sigma,3,0.1,False,chance_sigma__0p1,10001,0.0003803968807455,602.5486591009973,15.937680859758792
chance_sigma,3,0.1,False,chance_sigma__0p1,10002,0.0011915213846732,561.0184372256417,17.018654457784248
chance_sigma,3,0.1,False,chance_sigma__0p1,10003,0.0010020952901521,559.7157693358881,16.637257228361648
chance_sigma,3,0.1,False,chance_sigma__0p1,10004,0.001255473558502,605.19949781058,15.991844775498592
chance_sigma,3,0.1,False,chance_sigma__0p1,10005,0.0013930107201259,530.9187814184511,16.350554828258097
chance_sigma,3,0.1,False,chance_sigma__0p1,10006,0.0015878159429682,622.9423201555394,16.48506219492709
chance_sigma,3,0.1,False,chance_sigma__0p1,10007,0.0010972598981986,588.1313054344912,16.33697392078908
chance_sigma,3,0.1,False,chance_sigma__0p1,10008,9.758318966919248e-05,581.9861431870638,16.25754955480268
chance_sigma,3,0.1,False,chance_sigma__0p1,10009,0.000909386164339,520.2987983111467,16.4625090244198
chance_sigma,4,0.2,False,chance_sigma__0p2,10000,0.0012677484787018,555.6541582150061,16.465892586853258
chance_sigma,4,0.2,False,chance_sigma__0p2,10001,0.00038040893961,603.7089871612002,15.937823454484304
chance_sigma,4,0.2,False,chance_sigma__0p2,10002,0.0011915213846732,561.0184372256417,17.0186544577842
chance_sigma,4,0.2,False,chance_sigma__0p2,10003,0.0010020952901521,559.7157693358881,16.63725722836164
chance_sigma,4,0.2,False,chance_sigma__0p2,10004,0.001255473558502,605.19949781058,15.991844775498485
chance_sigma,4,0.2,False,chance_sigma__0p2,10005,0.0013930107201259,530.9187814184511,16.350554828258037
chance_sigma,4,0.2,False,chance_sigma__0p2,10006,0.0015878159429682,622.9423201555394,16.485062194927046
chance_sigma,4,0.2,False,chance_sigma__0p2,10007,0.0010972598981986,588.1313054344912,16.336973920789045
chance_sigma,4,0.2,False,chance_sigma__0p2,10008,9.758318966919248e-05,581.9861431870638,16.25754955480265
chance_sigma,4,0.2,False,chance_sigma__0p2,10009,0.000909386164339,520.2987983111467,16.462509024419717
