parameter,level_order,level_value,is_default_level,config_id,seed,mpc_solve_time_p95_sec,rear_ttc_p05_s,delay_per_arrived_vehicle_s
sample_num,0,20.0,False,sample_num__20,10000,0.0037003501784056,2.177783829158284,16.465892586853197
sample_num,0,20.0,False,sample_num__20,10001,0.0037280896445736,2.1849525802985257,15.937680859758657
sample_num,0,20.0,False,sample_num__20,10002,0.0036814500344917,2.160355679977972,17.018651887963916
sample_num,0,20.0,False,sample_num__20,10003,0.0037153701065108,2.166295493493871,16.637257228361605
sample_num,0,20.0,False,sample_num__20,10004,0.0037803350947797,2.163391945223167,15.991844775498352
sample_num,0,20.0,False,sample_num__20,10005,0.0037661399692296,2.181622925017999,16.35055482825785
sample_num,0,20.0,False,sample_num__20,10006,0.0037311750696972,2.163250791005769,16.48506219492699
sample_num,0,20.0,False,sample_num__20,10007,0.00371799999848,2.1579970902356806,16.336973920789067
sample_num,0,20.0,False,sample_num__20,10008,0.0037086501251906,2.1510931099486243,16.257549554802523
sample_num,0,20.0,False,sample_num__20,10009,0.0037463150685653,2.159886341864546,16.462509024419667
sample_num,1,40.0,False,sample_num__40,10000,0.0047476248582825,2.177783829158284,16.465892586853148
sample_num,1,40.0,False,sample_num__40,10001,0.0047747800359502,2.184943866721088,15.937823454484327
sample_num,1,40.0,False,sample_num__40,10002,0.0047532501630485,2.160355679977972,17.01865445778406
sample_num,1,40.0,False,sample_num__40,10003,0.0047532099764794,2.166295493493871,16.637257228361488
sample_num,1,40.0,False,sample_num__40,10004,0.0047858251724392,2.163391945223167,15.991844775498597
sample_num,1,40.0,False,sample_num__40,10005,0.0046924602240324,2.181622925017999,16.350554640959192
sample_num,1,40.0,False,sample_num__40,10006,0.0047872000141069,2.163250791005769,16.485062194926964
sample_num,1,40.0,False,sample_num__40,10007,0.0047062602825462,2.1579970902356806,16.336973920788946
sample_num,1,40.0,False,sample_num__40,10008,0.0047078500501811,2.1510931099486243,16.257549554802655
sample_num,1,40.0,False,sample_num__40,10009,0.004714870173484,2.159886341864546,16.46250902441961
sample_num,2,100.0,True,baseline,10000,0.007691899780184,2.177783829158284,16.465892586853354
sample_num,2,100.0,True,baseline,10001,0.0076243848539888,2.1849438667210896,15.937823454484258
sample_num,2,100.0,True,baseline,10002,0.0076474746456369,2.160355679977972,17.018654457784024
sample_num,2,100.0,True,baseline,10003,0.0076354952761903,2.166295493493871,16.637257228361435
sample_num,2,100.0,True,baseline,10004,0.0075714147416874,2.163391945223167,15.991844775498558
sample_num,2,100.0,True,baseline,10005,0.0075274998322129,2.181622925017999,16.350554828257945
sample_num,2,100.0,True,baseline,10006,0.0075367999961599,2.163250791005769,16.48506219492705
sample_num,2,100.0,True,baseline,10007,0.0075155800208449,2.1579970902356806,16.33697392078903
sample_num,2,100.0,True,baseline,10008,0.0075553997885435,2.1510931099486243,16.257549554802583
sample_num,2,100.0,True,baseline,10009,0.007533070188947,2.159886341864546,16.46250902441957
sample_num,3,200.0,False,sample_num__200,10000,0.0124380247434601,2.177783829158284,16.46589258685331
sample_num,3,200.0,False,sample_num__200,10001,0.0124699002830311,2.1849438667210896,15.937823454484391
sample_num,3,200.0,False,sample_num__200,10002,0.0124682749155908,2.160355679977972,17.01865445778417
sample_num,3,200.0,False,sample_num__200,10003,0.0124659549212083,2.166295493493871,16.637257228361577
sample_num,3,200.0,False,sample_num__200,10004,0.0126215701922774,2.163391945223167,15.991844775498619
sample_num,3,200.0,False,sample_num__200,10005,0.0124232399277389,2.181622925017999,16.35055482825809
sample_num,3,200.0,False,sample_num__200,10006,0.012450170260854,2.163250791005769,16.485062194927078
sample_num,3,200.0,False,sample_num__200,10007,0.0124569403007626,2.1579970902356806,16.336973920789006
sample_num,3,200.0,False,sample_num__200,10008,0.0125320500228554,2.1510931099486243,16.257549554802676
sample_num,3,200.0,False,sample_num__200,10009,0.0125498800072819,2.159886341864546,16.462509024419735
sample_num,4,500.0,False,sample_num__500,10000,0.0269102001329883,2.177783829158284,16.465892586853407
sample_num,4,500.0,False,sample_num__500,10001,0.0268344400217756,2.184943866721089,15.937823454484464
sample_num,4,500.0,False,sample_num__500,10002,0.0269259999040514,2.160355679977972,17.018654457784255
sample_num,4,500.0,False,sample_num__500,10003,0.0269080252153798,2.166295493493871,16.637257228361648
sample_num,4,500.0,False,sample_num__500,10004,0.0272062900476157,2.163391945223167,15.991844775498635
sample_num,4,500.0,False,sample_num__500,10005,0.0270883397199213,2.181622925017999,16.350554828258083
sample_num,4,500.0,False,sample_num__500,10006,0.0269194799941033,2.163250791005769,16.485062194927103
sample_num,4,500.0,False,sample_num__500,10007,0.0269753602333366,2.1579970902356806,16.336973920789024
sample_num,4,500.0,False,sample_num__500,10008,0.0270599999930709,2.1510931099486243,16.257549554802658
sample_num,4,500.0,False,sample_num__500,10009,0.0271086300257593,2.159886341864546,16.46250902441976
