parameter,level_order,level_value,is_default_level,config_id,seed,actual_cav_energy_per_arrived_cav_kwh,delay_per_arrived_vehicle_s,actual_cav_mean_abs_jerk
w_energy,0,0.0,False,w_energy__0,10000,0.02756243800790979,16.46684864636155,4.074895642150312
w_energy,0,0.0,False,w_energy__0,10001,0.02747711020948925,15.9387540687358,4.133680735615826
w_energy,0,0.0,False,w_energy__0,10002,0.02735848079906078,16.40349197614444,4.148932537437148
w_energy,0,0.0,False,w_energy__0,10003,0.026681062901877283,16.60616285688437,4.114174909267971
w_energy,0,0.0,False,w_energy__0,10004,0.027380119829016527,15.990807083543485,4.131132643129013
w_energy,0,0.0,False,w_energy__0,10005,0.02721163568316563,16.35079493506351,4.107639022196276
w_energy,0,0.0,False,w_energy__0,10006,0.027570405017878514,16.392420954796826,4.203032930372365
w_energy,0,0.0,False,w_energy__0,10007,0.027582058275598214,16.336096499568153,4.122764342487396
w_energy,0,0.0,False,w_energy__0,10008,0.02724790239676407,16.242621395029722,4.172502252163151
w_energy,0,0.0,False,w_energy__0,10009,0.026488596583753465,16.695420613295532,4.001351504750736
w_energy,1,2.0,False,w_energy__2,10000,0.027564503584384066,16.466086421678053,4.07722614671067
w_energy,1,2.0,False,w_energy__2,10001,0.02748278651039822,15.93889650806657,4.133533523677858
w_energy,1,2.0,False,w_energy__2,10002,0.02709339439464269,16.29368098604713,4.27437715892427
w_energy,1,2.0,False,w_energy__2,10003,0.026719149381247365,16.606539199483368,4.123981445716458
w_energy,1,2.0,False,w_energy__2,10004,0.027394089426075376,15.99097804860519,4.134877368165284
w_energy,1,2.0,False,w_energy__2,10005,0.027237163403697934,16.352035956027667,4.112679117151006
w_energy,1,2.0,False,w_energy__2,10006,0.02761042290702661,16.484795534697263,4.198771753680605
w_energy,1,2.0,False,w_energy__2,10007,0.027619842015544047,16.336006577628236,4.131164722644091
w_energy,1,2.0,False,w_energy__2,10008,0.027163844122880254,16.25786429725572,4.158645809607595
w_energy,1,2.0,False,w_energy__2,10009,0.027188930635271724,16.461636608351142,4.118348395255383
w_energy,2,8.0,True,baseline,10000,0.027598740669805492,16.465892586853354,4.080509746712126
w_energy,2,8.0,True,baseline,10001,0.02743602929255985,15.937823454484258,4.129899134915496
w_energy,2,8.0,True,baseline,10002,0.027402607930408038,17.018654457784024,4.082027039732799
w_energy,2,8.0,True,baseline,10003,0.02674704957934329,16.637257228361435,4.105195499273497
w_energy,2,8.0,True,baseline,10004,0.027401308560132457,15.991844775498558,4.1358320491824125
w_energy,2,8.0,True,baseline,10005,0.027226987836328227,16.350554828257945,4.108370954475253
w_energy,2,8.0,True,baseline,10006,0.027646244316268154,16.48506219492705,4.206431780120576
w_energy,2,8.0,True,baseline,10007,0.027566521288030495,16.33697392078903,4.121704101137994
w_energy,2,8.0,True,baseline,10008,0.027192847264961514,16.257549554802583,4.162853823679068
w_energy,2,8.0,True,baseline,10009,0.027196409317056205,16.46250902441957,4.11779760037865
w_energy,3,16.0,False,w_energy__16,10000,0.02755787960960736,16.466737780195622,4.076043128088031
w_energy,3,16.0,False,w_energy__16,10001,0.02745321856865018,15.938713620738325,4.131488483770468
w_energy,3,16.0,False,w_energy__16,10002,0.027375995848644644,17.017903738136727,4.072035016702208
w_energy,3,16.0,False,w_energy__16,10003,0.02681720101114915,16.42035493254964,4.08658703120064
w_energy,3,16.0,False,w_energy__16,10004,0.02739516576815274,15.99167862590809,4.135085876837132
w_energy,3,16.0,False,w_energy__16,10005,0.02723955904808491,16.351430467788333,4.114022313870861
w_energy,3,16.0,False,w_energy__16,10006,0.027556172707225723,16.391821304134442,4.200940061175918
w_energy,3,16.0,False,w_energy__16,10007,0.027561781743583393,16.336307462986145,4.117675265339109
w_energy,3,16.0,False,w_energy__16,10008,0.02717573679134753,16.257899163880243,4.158926011250872
w_energy,3,16.0,False,w_energy__16,10009,0.027170898204320948,16.46196173021398,4.109052843024131
w_energy,4,32.0,False,w_energy__32,10000,0.02756998629616817,16.466369069925292,4.0765674789761706
w_energy,4,32.0,False,w_energy__32,10001,0.02746253627843652,15.937882498596135,4.134915759689545
w_energy,4,32.0,False,w_energy__32,10002,0.026977450402984354,16.137263466660027,4.1483622738403145
w_energy,4,32.0,False,w_energy__32,10003,0.026663850446799996,16.645260621014366,4.086220447651639
w_energy,4,32.0,False,w_energy__32,10004,0.027382650270636046,15.990064519776428,4.135410488476235
w_energy,4,32.0,False,w_energy__32,10005,0.02721174666483962,16.35106429659407,4.107569000289884
w_energy,4,32.0,False,w_energy__32,10006,0.027562490902795795,16.392124505235643,4.202719791125182
w_energy,4,32.0,False,w_energy__32,10007,0.027578828582578232,16.336853631994753,4.122082957061776
w_energy,4,32.0,False,w_energy__32,10008,0.02726245595107107,16.242663877349507,4.1806141860575305
w_energy,4,32.0,False,w_energy__32,10009,0.02719066060205375,16.461842650331025,4.119249150457925
