scenario,seed,metric,metric_label,unit,value,fixed_no_mpc_value,improvement_vs_fixed_no_mpc_pct
fixed_mpc,10002,hdv_fuel_g,HDV fuel,g,9699.642652,9710.21728,0.108902069
fixed_mpc,10003,hdv_fuel_g,HDV fuel,g,9124.524358,9133.201494,0.095006515
fixed_mpc,10004,hdv_fuel_g,HDV fuel,g,10128.68959,10133.36176,0.046106858
fixed_mpc,10000,actual_cav_energy_kwh,CAV energy,kWh,7.991027957,8.393808408,4.798542354
fixed_mpc,10001,actual_cav_energy_kwh,CAV energy,kWh,7.628872526,8.166838896,6.587204397
fixed_mpc,10002,actual_cav_energy_kwh,CAV energy,kWh,7.391613449,7.829283332,5.590165342
fixed_mpc,10003,actual_cav_energy_kwh,CAV energy,kWh,7.553421002,7.972211663,5.253130234
fixed_mpc,10004,actual_cav_energy_kwh,CAV energy,kWh,7.266997846,7.735356149,6.054773614
fixed_mpc,10000,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.455288134,0.485970131,6.31355612
fixed_mpc,10001,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.466796577,0.493059999,5.326617892
fixed_mpc,10002,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.463597331,0.487353761,4.874576041
fixed_mpc,10003,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.443303197,0.467024495,5.079240672
fixed_mpc,10004,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.45789462,0.4859307,5.769563403
fixed_mpc,10000,actual_cav_rms_acc,RMS acceleration,m s$^{-2}$,0.908963895,0.934137084,2.694806739
fixed_mpc,10001,actual_cav_rms_acc,RMS acceleration,m s$^{-2}$,0.920440099,0.940312834,2.11341739
fixed_mpc,10002,actual_cav_rms_acc,RMS acceleration,m s$^{-2}$,0.923727302,0.941900676,1.929436304
fixed_mpc,10003,actual_cav_rms_acc,RMS acceleration,m s$^{-2}$,0.896606669,0.9166448,2.186030103
fixed_mpc,10004,actual_cav_rms_acc,RMS acceleration,m s$^{-2}$,0.906638223,0.929201137,2.428205512
fixed_mpc,10000,actual_cav_mean_abs_jerk,Mean |jerk|,m s$^{-3}$,3.126980877,3.732343903,16.21937962
fixed_mpc,10001,actual_cav_mean_abs_jerk,Mean |jerk|,m s$^{-3}$,3.17282184,3.793885243,16.37011567
fixed_mpc,10002,actual_cav_mean_abs_jerk,Mean |jerk|,m s$^{-3}$,3.09113592,3.624595757,14.71777468
fixed_mpc,10003,actual_cav_mean_abs_jerk,Mean |jerk|,m s$^{-3}$,3.049557847,3.562567564,14.39999967
fixed_mpc,10004,actual_cav_mean_abs_jerk,Mean |jerk|,m s$^{-3}$,3.226009874,3.80064321,15.11937071
dqn_no_mpc,10000,total_delay,Total delay,s,8807.736594,17761.66099,50.41152627
dqn_no_mpc,10001,total_delay,Total delay,s,8720.500046,17846.39028,51.13577643
dqn_no_mpc,10002,total_delay,Total delay,s,8703.255128,18009.8059,51.67490879
dqn_no_mpc,10003,total_delay,Total delay,s,9134.276081,18015.63477,49.29806139
dqn_no_mpc,10004,total_delay,Total delay,s,8631.717147,18379.70906,53.03670413
